#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             agas1x          agas1y          agas1z          agas2x          agas2y          agas2z          xcom            ycom            zcom            vxcom            vycom            vzcom            lpz             lgz             ldoz            Eorb            mb              mu              
                1238        4.502724e-01        3.665114e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.040838e-16        3.333817e-07        7.658480e-02       -1.064143e-15        1.123402e-01        6.840872e-02       -4.255358e-12       -3.225642e-02        8.445868e-05        1.460358e-05
                1265        4.601691e-01        3.665825e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -3.185596e-16        3.333817e-07        7.658480e-02       -1.067445e-15        1.123402e-01        6.840870e-02       -4.310682e-12       -3.225642e-02        9.086851e-05        1.460358e-05
                1292        4.700678e-01        3.666521e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -6.781220e-16        3.333817e-07        7.658480e-02       -1.086493e-15        1.123402e-01        6.840869e-02       -4.364870e-12       -3.225642e-02        9.763963e-05        1.460358e-05
                1320        4.803350e-01        3.667226e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17        0.000000e+00        3.333817e-07        7.658480e-02       -1.085310e-15        1.123402e-01        6.840867e-02       -4.419889e-12       -3.225642e-02        1.050532e-04        1.460358e-05
                1347        4.902374e-01        3.667891e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        2.176299e-16        3.333817e-07        7.658480e-02       -1.092998e-15        1.123402e-01        6.840866e-02       -4.471832e-12       -3.225642e-02        1.125890e-04        1.460358e-05
                1374        5.001415e-01        3.668541e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.431941e-15        3.333817e-07        7.658480e-02       -1.120177e-15        1.123402e-01        6.840864e-02       -4.522707e-12       -3.225642e-02        1.205138e-04        1.460358e-05
                1401        5.100474e-01        3.669176e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -2.964813e-16        3.333817e-07        7.658480e-02       -1.115791e-15        1.123402e-01        6.840862e-02       -4.572534e-12       -3.225642e-02        1.288373e-04        1.460358e-05
                1429        5.203220e-01        3.669819e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17        6.308112e-18        3.333817e-07        7.658480e-02       -1.124071e-15        1.123402e-01        6.840861e-02       -4.623124e-12       -3.225642e-02        1.379003e-04        1.460358e-05
                1456        5.302313e-01        3.670424e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -7.317410e-16        3.333817e-07        7.658480e-02       -1.142748e-15        1.123402e-01        6.840859e-02       -4.670883e-12       -3.225642e-02        1.470652e-04        1.460358e-05
                1483        5.401422e-01        3.671014e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.513947e-16        3.333817e-07        7.658480e-02       -1.141221e-15        1.123402e-01        6.840857e-02       -4.717659e-12       -3.225642e-02        1.566567e-04        1.460358e-05
                1510        5.500547e-01        3.671587e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -3.879489e-16        3.333817e-07        7.658480e-02       -1.133779e-15        1.123402e-01        6.840856e-02       -4.763469e-12       -3.225642e-02        1.666829e-04        1.460358e-05
                1538        5.603359e-01        3.672164e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -3.374840e-16        3.333817e-07        7.658480e-02       -1.158568e-15        1.123402e-01        6.840854e-02       -4.809979e-12       -3.225642e-02        1.775479e-04        1.460358e-05
